Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency,Added
Infestation Sage,FDN,Foundations,64,foil,common,1,101601,d40c73de-7a5f-46f2-a70b-449bc8ecfe24,0.18,false,false,near_mint,en,GBP,2025-11-22T13:20:10.577Z
Faceless Devourer,TSR,Time Spiral Remastered,115,normal,uncommon,1,57844,c49d6139-fc0c-41db-be08-dfa87c685092,0.04,false,false,near_mint,en,GBP,2025-11-22T13:20:10.577Z
Duskwielder,KHM,Kaldheim,91,normal,common,1,56890,5b5490b8-5652-40f5-8678-e1263ef69b5a,0.08,false,false,near_mint,en,GBP,2025-11-22T13:20:10.577Z
"Baba Lysaga, Night Witch",CLB,Commander Legends: Battle for Baldur's Gate,525,etched,rare,1,69236,b330c216-4c1f-4318-8add-20b766afd94c,0.27,false,false,near_mint,en,GBP,2026-02-19T22:21:25.702Z
"Ludevic, Necro-Alchemist",CMR,Commander Legends,525,etched,mythic,1,55549,07d6724f-f781-446b-be69-5c6949f9bbaa,1.31,false,false,near_mint,en,GBP,2026-04-07T22:14:49.647Z
Venerated Stormsinger,TDM,Tarkir: Dragonstorm,97,foil,uncommon,1,104858,a4a4e985-facd-47e6-b680-3023c82c2957,0.21,false,false,near_mint,en,GBP,2025-11-22T13:20:10.577Z
Thundering Broodwagon,DFT,Aetherdrift,328,foil,uncommon,1,103608,b4adfba1-c73a-43b4-8400-e11617958f7f,0.13,false,false,near_mint,en,GBP,2025-11-22T13:20:10.577Z
The Stasis Coffin,BRO,The Brothers' War,366,normal,rare,1,75682,a41793ef-73a3-41fc-8efc-df0d72ede984,0.37,false,false,near_mint,ja,GBP,2025-11-22T13:20:10.577Z
The Stasis Coffin,BRO,The Brothers' War,245,foil,rare,1,75422,45537ac3-fc61-4253-a782-7f3e436b2aa6,0.33,false,false,near_mint,ja,GBP,2025-11-22T13:20:10.577Z
"Liberator, Urza's Battlethopter",BRO,The Brothers' War,364,normal,rare,1,75273,04acd5af-bd55-4c16-9b6d-10822d564c14,4.21,false,false,near_mint,ja,GBP,2025-11-22T13:20:10.577Z
"Drana, Kalastria Bloodchief",ROE,Rise of the Eldrazi,107,normal,rare,1,21860,aca8d295-e8e9-4213-bc9b-f1acf57fb520,0.32,false,false,excellent,en,GBP,2026-01-22T11:17:35.785Z
Mondronen Shaman // Tovolar's Magehunter,DKA,Dark Ascension,98,normal,rare,1,18439,b150d71f-11c9-40d6-a461-4967ef437315,0.46,false,false,good,en,GBP,2026-01-22T11:17:35.784Z
Boneshard Slasher,TOR,Torment,50,normal,uncommon,1,31691,27201370-32cc-4b90-890d-8c3f5362ad70,0.1,false,false,light_played,en,GBP,2026-04-27T22:24:32.173Z
"Greta, Sweettooth Scourge",WOE,Wilds of Eldraine,205,normal,uncommon,1,85321,2cfd365e-34d1-4224-b925-119000311934,0.16,false,false,near_mint,en,GBP,2025-11-22T13:20:10.577Z
"SP//dr, Piloted by Peni",SPM,Marvel's Spider-Man,147,normal,uncommon,3,107670,c47c1d83-e76d-4939-9ed6-05a9e709dea1,0.1,false,false,near_mint,en,GBP,2025-11-22T13:20:10.577Z
"Itzquinth, Firstborn of Gishath",LCI,The Lost Caverns of Ixalan,230,normal,uncommon,1,88588,7112c366-b36a-4bc8-aa64-6bad16bebc39,0.02,false,false,near_mint,en,GBP,2025-11-22T13:20:10.577Z
Intrepid Tenderfoot,EOE,Edge of Eternities,193,normal,common,6,107740,809df0ea-deff-47b9-83df-cc1f360d377e,0.05,false,false,near_mint,en,GBP,2026-01-01T18:30:00.846Z
Auxiliary Boosters,EOE,Edge of Eternities,5,normal,common,3,107714,43706295-afd6-442c-8828-8cf978152701,0.03,false,false,near_mint,en,GBP,2026-01-01T18:30:00.847Z
Swarm Culler,EOE,Edge of Eternities,119,normal,common,4,107700,2a8f583c-88b6-4797-b93e-3086845fc326,0.04,false,false,near_mint,en,GBP,2026-01-01T18:30:00.848Z
Starbreach Whale,EOE,Edge of Eternities,77,normal,common,4,107085,8a1a0476-7145-4493-97e5-4fc05c85e476,0.08,false,false,near_mint,en,GBP,2026-01-01T18:30:00.849Z
Pinnacle Kill-Ship,EOE,Edge of Eternities,244,normal,common,3,107533,bf784de8-5ae2-4c07-92bb-a5b7f593b773,0.09,false,false,near_mint,en,GBP,2026-01-01T18:30:00.852Z
Specimen Freighter,EOE,Edge of Eternities,76,normal,uncommon,1,107526,b862a9f8-2361-4220-99bd-ae2530905195,0.09,false,false,near_mint,en,GBP,2026-01-01T18:30:00.853Z
Hemosymbic Mite,EOE,Edge of Eternities,190,normal,uncommon,1,107324,c14137a4-2d44-444c-ad50-e2edf9380571,0.13,false,false,near_mint,en,GBP,2026-01-01T18:30:00.854Z
"Sami, Ship's Engineer",EOE,Edge of Eternities,225,normal,uncommon,2,106764,75c38cc9-07de-46d4-8195-f04b2b7e0fee,0.06,false,false,near_mint,en,GBP,2026-01-01T18:30:00.855Z
Timeline Culler,EOE,Edge of Eternities,121,normal,uncommon,1,106991,33410410-72f2-49c4-9e63-a72202cd075a,0.43,false,false,near_mint,en,GBP,2026-01-01T18:30:00.856Z
